ID,Year,AgeGroup,SmokingStatus,Maternities
567,2015/16,35 and over,Former smoker,6
568,2015/16,35 and over,Never smoked,14
569,2015/16,35 and over,Unknown,1
570,2015/16,35 and over,Current smoker,1
571,2015/16,35 and over,Former smoker,9
572,2015/16,35 and over,Never smoked,36
573,2015/16,35 and over,Current smoker,1
574,2015/16,35 and over,Former smoker,7
575,2015/16,35 and over,Never smoked,25
576,2015/16,35 and over,Unknown,1
577,2015/16,35 and over,Current smoker,2
578,2015/16,35 and over,Former smoker,3
579,2015/16,35 and over,Never smoked,23
580,2015/16,Under 25,Current smoker,66
581,2015/16,Under 25,Former smoker,45
582,2015/16,Under 25,Never smoked,87
583,2015/16,Under 25,Unknown,3
584,2015/16,Under 25,Current smoker,15
585,2015/16,Under 25,Former smoker,20
586,2015/16,Under 25,Never smoked,37
587,2015/16,Under 25,Unknown,1
588,2015/16,Under 25,Current smoker,5
589,2015/16,Under 25,Former smoker,6
590,2015/16,Under 25,Never smoked,7
591,2015/16,Under 25,Unknown,2
592,2015/16,Under 25,Current smoker,6
593,2015/16,Under 25,Former smoker,3
594,2015/16,Under 25,Never smoked,14
595,2015/16,Under 25,Former smoker,4
596,2015/16,Under 25,Never smoked,3
597,2015/16,25-34,Current smoker,4
598,2015/16,25-34,Former smoker,1
599,2015/16,25-34,Never smoked,10
600,2015/16,25-34,Unknown,1
601,2015/16,25-34,Current smoker,1
602,2015/16,25-34,Former smoker,2
603,2015/16,25-34,Never smoked,25
604,2015/16,25-34,Current smoker,4
605,2015/16,25-34,Former smoker,6
606,2015/16,25-34,Never smoked,49
607,2015/16,25-34,Former smoker,3
608,2015/16,25-34,Never smoked,6
609,2015/16,35 and over,Current smoker,1
610,2015/16,35 and over,Never smoked,4
611,2015/16,35 and over,Never smoked,8
612,2015/16,35 and over,Current smoker,2
613,2015/16,35 and over,Never smoked,21
614,2015/16,35 and over,Former smoker,1
615,2015/16,35 and over,Never smoked,5
616,2015/16,Under 25,Current smoker,4
617,2015/16,Under 25,Former smoker,4
618,2015/16,Under 25,Never smoked,1
619,2015/16,Under 25,Current smoker,2
620,2015/16,Under 25,Former smoker,2
621,2015/16,Under 25,Never smoked,4
622,2015/16,Under 25,Current smoker,3
623,2015/16,Under 25,Former smoker,3
624,2015/16,Under 25,Never smoked,9
625,2015/16,Under 25,Former smoker,1
626,2015/16,Under 25,Never smoked,1
627,2015/16,25-34,Current smoker,22
628,2015/16,25-34,Former smoker,3
629,2015/16,25-34,Never smoked,20
630,2015/16,25-34,Unknown,9
631,2015/16,25-34,Current smoker,19
632,2015/16,25-34,Former smoker,24
633,2015/16,25-34,Never smoked,65
634,2015/16,25-34,Unknown,21
635,2015/16,25-34,Current smoker,30
636,2015/16,25-34,Former smoker,30
637,2015/16,25-34,Never smoked,115
638,2015/16,25-34,Unknown,15
639,2015/16,25-34,Current smoker,12
640,2015/16,25-34,Former smoker,12
641,2015/16,25-34,Never smoked,115
642,2015/16,25-34,Unknown,21
643,2015/16,25-34,Current smoker,4
644,2015/16,25-34,Former smoker,3
645,2015/16,25-34,Never smoked,20
646,2015/16,25-34,Unknown,9
647,2015/16,35 and over,Current smoker,3
648,2015/16,35 and over,Former smoker,2
649,2015/16,35 and over,Never smoked,6
650,2015/16,35 and over,Unknown,2
651,2015/16,35 and over,Current smoker,3
652,2015/16,35 and over,Former smoker,3
653,2015/16,35 and over,Never smoked,22
654,2015/16,35 and over,Unknown,1
655,2015/16,35 and over,Current smoker,7
656,2015/16,35 and over,Former smoker,7
657,2015/16,35 and over,Never smoked,33
658,2015/16,35 and over,Unknown,11
659,2015/16,35 and over,Current smoker,2
660,2015/16,35 and over,Former smoker,6
661,2015/16,35 and over,Never smoked,47
662,2015/16,35 and over,Unknown,9
663,2015/16,35 and over,Former smoker,1
664,2015/16,35 and over,Never smoked,21
665,2015/16,35 and over,Unknown,4
666,2015/16,Under 25,Current smoker,14
667,2015/16,Under 25,Former smoker,5
668,2015/16,Under 25,Never smoked,7
669,2015/16,Under 25,Unknown,2
670,2015/16,Under 25,Current smoker,17
671,2015/16,Under 25,Former smoker,9
672,2015/16,Under 25,Never smoked,24
673,2015/16,Under 25,Unknown,4
674,2015/16,Under 25,Current smoker,16
675,2015/16,Under 25,Former smoker,15
676,2015/16,Under 25,Never smoked,21
677,2015/16,Under 25,Unknown,7
678,2015/16,Under 25,Current smoker,11
679,2015/16,Under 25,Former smoker,12
680,2015/16,Under 25,Never smoked,20
681,2015/16,Under 25,Unknown,7
682,2015/16,Under 25,Current smoker,1
683,2015/16,Under 25,Former smoker,3
684,2015/16,Under 25,Never smoked,2
685,2015/16,25-34,Current smoker,1
686,2015/16,25-34,Never smoked,1
687,2015/16,25-34,Current smoker,5
688,2015/16,25-34,Former smoker,1
689,2015/16,25-34,Never smoked,29
690,2015/16,25-34,Current smoker,7
691,2015/16,25-34,Former smoker,3
692,2015/16,25-34,Never smoked,80
693,2015/16,35 and over,Former smoker,1
694,2015/16,35 and over,Never smoked,2
695,2015/16,35 and over,Current smoker,2
696,2015/16,35 and over,Former smoker,2
697,2015/16,35 and over,Never smoked,11
698,2015/16,35 and over,Current smoker,1
699,2015/16,35 and over,Former smoker,3
700,2015/16,35 and over,Never smoked,28
701,2015/16,Under 25,Former smoker,1
702,2015/16,Under 25,Never smoked,1
703,2015/16,Under 25,Current smoker,2
704,2015/16,Under 25,Former smoker,2
705,2015/16,Under 25,Never smoked,10
706,2015/16,Under 25,Current smoker,11
707,2015/16,Under 25,Former smoker,2
708,2015/16,Under 25,Never smoked,9
709,2015/16,25-34,Current smoker,33
710,2015/16,25-34,Former smoker,25
711,2015/16,25-34,Never smoked,82
712,2015/16,25-34,Unknown,1
713,2015/16,25-34,Current smoker,14
714,2015/16,25-34,Former smoker,38
715,2015/16,25-34,Never smoked,93
716,2015/16,25-34,Current smoker,13
